"Sample","Bioproject"
"SRR6798223","PRJNA436651"
"SRR6798224","PRJNA436651"
"SRR6798225","PRJNA436651"
"SRR6798226","PRJNA436651"
"SRR6798227","PRJNA436651"
"SRR6798228","PRJNA436651"
"SRR6798229","PRJNA436651"
"SRR6798230","PRJNA436651"
"SRR6798231","PRJNA436651"
"SRR6798232","PRJNA436651"
"SRR6798233","PRJNA436651"
"SRR6798234","PRJNA436651"
"SRR6798235","PRJNA436651"
"SRR6798236","PRJNA436651"
"SRR6798237","PRJNA436651"
"SRR6798238","PRJNA436651"
"SRR6798239","PRJNA436651"
"SRR6798240","PRJNA436651"
"SRR6798241","PRJNA436651"
"SRR6798242","PRJNA436651"
"SRR6798243","PRJNA436651"
"SRR6798244","PRJNA436651"
"SRR6798245","PRJNA436651"
"SRR6798246","PRJNA436651"
"SRR6798247","PRJNA436651"
"SRR6798248","PRJNA436651"
"SRR6798249","PRJNA436651"
"SRR6798250","PRJNA436651"
"SRR6798251","PRJNA436651"
"SRR6798252","PRJNA436651"
"SRR6798253","PRJNA436651"
"SRR6798254","PRJNA436651"
"SRR6798255","PRJNA436651"
"SRR6983668","PRJNA449675"
"SRR6983669","PRJNA449675"
"SRR6983670","PRJNA449675"
"SRR6983671","PRJNA449675"
"SRR6983672","PRJNA449675"
"SRR6983673","PRJNA449675"
"SRR6983674","PRJNA449675"
"SRR6983675","PRJNA449675"
"SRR6983676","PRJNA449675"
"SRR6983677","PRJNA449675"
"SRR6983678","PRJNA449675"
"SRR6983679","PRJNA449675"
"SRR8255699","PRJNA449675"
"SRR8255700","PRJNA449675"
"SRR8255701","PRJNA449675"
"SRR8255702","PRJNA449675"
"SRR8255703","PRJNA449675"
"SRR8255704","PRJNA449675"
"SRR8255705","PRJNA449675"
"SRR8255706","PRJNA449675"
"SRR8255707","PRJNA449675"
"SRR8255708","PRJNA449675"
"SRR8255709","PRJNA449675"
"SRR8255710","PRJNA449675"
"SRR7167175","PRJNA471520"
"SRR7167176","PRJNA471520"
"SRR7167177","PRJNA471520"
"SRR7167178","PRJNA471520"
"SRR7167179","PRJNA471520"
"SRR7167180","PRJNA471520"
"SRR7167181","PRJNA471520"
"SRR7167182","PRJNA471520"
"SRR7167183","PRJNA471520"
"SRR7167184","PRJNA471520"
"SRR7167185","PRJNA471520"
"SRR7167186","PRJNA471520"
"SRR7167187","PRJNA471520"
"SRR7167188","PRJNA471520"
"SRR7167189","PRJNA471520"
"SRR7167190","PRJNA471520"
"SRR7167191","PRJNA471520"
"SRR7167192","PRJNA471520"
"SRR7167193","PRJNA471520"
"SRR7167194","PRJNA471520"
"SRR7167195","PRJNA471520"
"SRR7167196","PRJNA471520"
"SRR7167197","PRJNA471520"
"SRR7167198","PRJNA471520"
"SRR7167199","PRJNA471520"
"SRR7167200","PRJNA471520"
"SRR7167201","PRJNA471520"
"SRR7167202","PRJNA471520"
"SRR7167203","PRJNA471520"
"SRR7167204","PRJNA471520"
"SRR7167205","PRJNA471520"
"SRR7167206","PRJNA471520"
"SRR7235735","PRJNA473811"
"SRR7235736","PRJNA473811"
"SRR7235737","PRJNA473811"
"SRR7235738","PRJNA473811"
"SRR7235739","PRJNA473811"
"SRR7235740","PRJNA473811"
"SRR7281439","PRJNA475273"
"SRR7281440","PRJNA475273"
"SRR7281441","PRJNA475273"
"SRR7281442","PRJNA475273"
"SRR7281443","PRJNA475273"
"SRR7281444","PRJNA475273"
"SRR7281445","PRJNA475273"
"SRR7281446","PRJNA475273"
"SRR7281447","PRJNA475273"
"SRR7281448","PRJNA475273"
"SRR7281449","PRJNA475273"
"SRR7281450","PRJNA475273"
"SRR7281451","PRJNA475273"
"SRR7281452","PRJNA475273"
"SRR7281453","PRJNA475273"
"SRR7649462","PRJNA484793"
"SRR7649463","PRJNA484793"
"SRR7649464","PRJNA484793"
"SRR7649465","PRJNA484793"
"SRR7649466","PRJNA484793"
"SRR7649467","PRJNA484793"
"SRR7649468","PRJNA484793"
"SRR7649469","PRJNA484793"
"SRR7649470","PRJNA484793"
"SRR7649471","PRJNA484793"
"SRR7649472","PRJNA484793"
"SRR7649473","PRJNA484793"
"SRR7649474","PRJNA484793"
"SRR7649475","PRJNA484793"
"SRR7649476","PRJNA484793"
"SRR7649477","PRJNA484793"
"SRR7788684","PRJNA489378"
"SRR7788685","PRJNA489378"
"SRR7788686","PRJNA489378"
"SRR7788687","PRJNA489378"
"SRR7788688","PRJNA489378"
"SRR7788689","PRJNA489378"
"SRR7788690","PRJNA489378"
